x [mm],y [mm],z [mm],B [T]
148,0,0,-0.982
148,2,0,-0.951
148,4,0,-0.924
148,6,0,-0.913
148,8,0,-0.918
148,10,0,-0.941
148,12,0,-0.978
150,0,0,-0.986
150,2,0,-0.952
150,4,0,-0.926
150,6,0,-0.914
150,8,0,-0.92
150,10,0,-0.942
150,12,0,-0.979
152,0,0,-0.979
152,2,0,-0.953
152,4,0,-0.927
152,6,0,-0.916
152,8,0,-0.921
152,10,0,-0.943
152,12,0,-0.98
154,0,0,-0.984
154,2,0,-0.953
154,4,0,-0.927
154,6,0,-0.916
154,8,0,-0.922
154,10,0,-0.944
154,12,0,-0.981
156,0,0,-0.982
156,2,0,-0.953
156,4,0,-0.928
156,6,0,-0.917
156,8,0,-0.922
156,10,0,-0.944
156,12,0,-0.98
158,0,0,-0.984
158,2,0,-0.954
158,4,0,-0.928
158,6,0,-0.917
158,8,0,-0.922
158,10,0,-0.944
158,12,0,-0.98
160,0,0,-0.987
160,2,0,-0.954
160,4,0,-0.929
160,6,0,-0.918
160,8,0,-0.923
160,10,0,-0.944
160,12,0,-0.979
162,0,0,-0.984
162,2,0,-0.955
162,4,0,-0.929
162,6,0,-0.918
162,8,0,-0.923
162,10,0,-0.944
162,12,0,-0.979
164,0,0,-0.986
164,2,0,-0.956
164,4,0,-0.929
164,6,0,-0.918
164,8,0,-0.923
164,10,0,-0.944
164,12,0,-0.979
166,0,0,-0.989
166,2,0,-0.956
166,4,0,-0.929
166,6,0,-0.918
166,8,0,-0.923
166,10,0,-0.944
166,12,0,-0.979
168,0,0,-0.99
168,2,0,-0.956
168,4,0,-0.929
168,6,0,-0.918
168,8,0,-0.923
168,10,0,-0.944
168,12,0,-0.98
170,0,0,-0.985
170,2,0,-0.955
170,4,0,-0.929
170,6,0,-0.917
170,8,0,-0.923
170,10,0,-0.944
170,12,0,-0.98
172,0,0,-0.985
172,2,0,-0.954
172,4,0,-0.928
172,6,0,-0.917
172,8,0,-0.922
172,10,0,-0.922
172,12,0,-0.976
174,0,0,-0.983
174,2,0,-0.953
174,4,0,-0.927
174,6,0,-0.916
174,8,0,-0.922
174,10,0,-0.944
174,12,0,-0.979
176,0,0,-0.984
176,2,0,-0.952
176,4,0,-0.926
176,6,0,-0.916
176,8,0,-0.916
176,10,0,-0.942
176,12,0,-0.979
178,0,0,-0.979
178,2,0,-0.951
178,4,0,-0.926
178,6,0,-0.915
178,8,0,-0.921
178,10,0,-0.943
178,12,0,-0.979
180,0,0,-0.978
180,2,0,-0.951
180,4,0,-0.925
180,6,0,-0.915
180,8,0,-0.921
180,10,0,-0.943
180,12,0,-0.98
182,0,0,-0.98
182,2,0,-0.951
182,4,0,-0.925
182,6,0,-0.915
182,8,0,-0.921
182,10,0,-0.943
182,12,0,-0.98
184,0,0,-0.981
184,2,0,-0.949
184,4,0,-0.924
184,6,0,-0.914
184,8,0,-0.92
184,10,0,-0.942
184,12,0,-0.979
186,0,0,-0.971
186,2,0,-0.949
186,4,0,-0.923
186,6,0,-0.913
186,8,0,-0.919
186,10,0,-0.942
186,12,0,-0.978
188,0,0,-0.976
188,2,0,-0.948
188,4,0,-0.923
188,6,0,-0.913
188,8,0,-0.918
188,10,0,-0.941
188,12,0,-0.977
190,0,0,-0.978
190,2,0,-0.947
190,4,0,-0.922
190,6,0,-0.912
190,8,0,-0.918
190,10,0,-0.94
190,12,0,-0.977
192,0,0,-0.977
192,2,0,-0.946
192,4,0,-0.921
192,6,0,-0.911
192,8,0,-0.917
192,10,0,-0.939
192,12,0,-0.976
194,0,0,-0.975
194,2,0,-0.945
194,4,0,-0.92
194,6,0,-0.91
194,8,0,-0.916
194,10,0,-0.938
194,12,0,-0.975
196,0,0,-0.975
196,2,0,-0.945
196,4,0,-0.92
196,6,0,-0.91
196,8,0,-0.916
196,10,0,-0.938
196,12,0,-0.976
198,0,0,-0.97
198,2,0,-0.944
198,4,0,-0.918
198,6,0,-0.908
198,8,0,-0.914
198,10,0,-0.936
198,12,0,-0.974
200,0,0,-0.975
200,2,0,-0.942
200,4,0,-0.917
200,6,0,-0.906
200,8,0,-0.912
200,10,0,-0.935
200,12,0,-0.972
202,0,0,-0.975
202,2,0,-0.941
202,4,0,-0.915
202,6,0,-0.904
202,8,0,-0.91
202,10,0,-0.933
202,12,0,-0.971
204,0,0,-0.972
204,2,0,-0.939
204,4,0,-0.912
204,6,0,-0.902
204,8,0,-0.908
204,10,0,-0.931
204,12,0,-0.969
206,0,0,-0.97
206,2,0,-0.936
206,4,0,-0.909
206,6,0,-0.899
206,8,0,-0.905
206,10,0,-0.928
206,12,0,-0.967
208,0,0,-0.964
208,2,0,-0.932
208,4,0,-0.905
208,6,0,-0.895
208,8,0,-0.901
208,10,0,-0.925
208,12,0,-0.965
210,0,0,-0.962
210,2,0,-0.927
210,4,0,-0.9
210,6,0,-0.89
210,8,0,-0.897
210,10,0,-0.921
210,12,0,-0.961
212,0,0,-0.954
212,2,0,-0.921
212,4,0,-0.894
212,6,0,-0.883
212,8,0,-0.891
212,10,0,-0.916
212,12,0,-0.957
214,0,0,-0.95
214,2,0,-0.913
214,4,0,-0.886
214,6,0,-0.875
214,8,0,-0.883
214,10,0,-0.909
214,12,0,-0.952
216,0,0,-0.941
216,2,0,-0.903
216,4,0,-0.875
216,6,0,-0.865
216,8,0,-0.873
216,10,0,-0.901
216,12,0,-0.945
218,0,0,-0.938
218,2,0,-0.903
218,4,0,-0.875
218,6,0,-0.865
218,8,0,-0.873
218,10,0,-0.901
218,12,0,-0.945
220,0,0,-0.913
220,2,0,-0.873
220,4,0,-0.842
220,6,0,-0.832
220,8,0,-0.843
220,10,0,-0.876
220,12,0,-0.928
222,0,0,-0.911
222,2,0,-0.873
222,4,0,-0.842
222,6,0,-0.832
222,8,0,-0.843
222,10,0,-0.876
222,12,0,-0.928
224,0,0,-0.87
224,2,0,-0.821
224,4,0,-0.785
224,6,0,-0.774
224,8,0,-0.79
224,10,0,-0.832
224,12,0,-0.898
226,0,0,-0.831
226,2,0,-0.78
226,4,0,-0.74
226,6,0,-0.728
226,8,0,-0.747
226,10,0,-0.796
226,12,0,-0.875
228,0,0,-0.785
228,2,0,-0.722
228,4,0,-0.678
228,6,0,-0.677
228,8,0,-0.686
228,10,0,-0.744
228,12,0,-0.84
230,0,0,-0.709
230,2,0,-0.634
230,4,0,-0.593
230,6,0,-0.586
230,8,0,-0.607
230,10,0,-0.662
230,12,0,-0.775
232,0,0,-0.68
232,2,0,-0.634
232,4,0,-0.593
232,6,0,-0.586
232,8,0,-0.607
232,10,0,-0.662
232,12,0,-0.775
234,0,0,-0.291
234,2,0,-0.35
234,4,0,-0.377
234,6,0,-0.389
234,8,0,-0.397
234,10,0,-0.397
234,12,0,-0.358
236,0,0,-0.29
236,2,0,-0.35
236,4,0,-0.377
236,6,0,-0.389
236,8,0,-0.397
236,10,0,-0.397
236,12,0,-0.358
238,0,0,-0.128
238,2,0,-0.1747
238,4,0,-0.2086
238,6,0,-0.2245
238,8,0,-0.2247
238,10,0,-0.2078
238,12,0,-0.1703
240,0,0,-0.1008
240,2,0,-0.1324
240,4,0,-0.1574
240,6,0,-0.1699
240,8,0,-0.1698
240,10,0,-0.157
240,12,0,-0.1316
242,0,0,-0.0826
242,2,0,-0.1033
242,4,0,-0.1212
242,6,0,-0.1305
242,8,0,-0.1306
242,10,0,-0.1216
242,12,0,-0.1045
244,0,0,-0.0668
244,2,0,-0.0822
244,4,0,-0.0949
244,6,0,-0.1016
244,8,0,-0.1019
244,10,0,-0.0959
244,12,0,-0.0843
246,0,0,-0.0565
246,2,0,-0.0663
246,4,0,-0.0754
246,6,0,-0.0803
246,8,0,-0.0807
246,10,0,-0.0766
246,12,0,-0.0686
248,0,0,-0.0467
248,2,0,-0.0541
248,4,0,-0.0607
248,6,0,-0.0644
248,8,0,-0.0648
248,10,0,-0.0621
248,12,0,-0.0565
250,0,0,-0.0396
250,2,0,-0.0446
250,4,0,-0.0495
250,6,0,-0.0523
250,8,0,-0.0527
250,10,0,-0.0508
250,12,0,-0.0469
252,0,0,-0.0333
252,2,0,-0.0371
252,4,0,-0.0408
252,6,0,-0.043
252,8,0,-0.0433
252,10,0,-0.042
252,12,0,-0.0392
254,0,0,-0.0329
254,2,0,-0.0352
254,4,0,-0.0336
254,6,0,-0.0356
254,8,0,-0.0359
254,10,0,-0.0359
254,12,0,-0.033
256,0,0,-0.0237
256,2,0,-0.0262
256,4,0,-0.0284
256,6,0,-0.0297
256,8,0,-0.0301
256,10,0,-0.0294
256,12,0,-0.0278
258,0,0,-0.0205
258,2,0,-0.02208
258,4,0,-0.02384
258,6,0,-0.02488
258,8,0,-0.02517
258,10,0,-0.02469
258,12,0,-0.02351
260,0,0,-0.01723
260,2,0,-0.01879
260,4,0,-0.02019
260,6,0,-0.02104
260,8,0,-0.0213
260,10,0,-0.02095
260,12,0,-0.02004
262,0,0,-0.01484
262,2,0,-0.01605
262,4,0,-0.01719
262,6,0,-0.01788
262,8,0,-0.0181
262,10,0,-0.01785
262,12,0,-0.01715
0,0,2,-0.01573
0,2,2,-0.01709
0,4,2,-0.0183
0,6,2,-0.01904
0,8,2,-0.01927
0,10,2,-0.01901
0,12,2,-0.01826
